Date,LSTM_Forecast,Lower_CI,Upper_CI
2025-08-31,-0.21106258,,
2025-09-30,-0.21106258,,
2025-10-31,-0.21106258,,
2025-11-30,-0.21106258,,
2025-12-31,-0.21106258,,
2026-01-31,-0.21106258,,
2026-02-28,-0.21106258,,
2026-03-31,-0.21106258,,
2026-04-30,-0.21106258,,
2026-05-31,-0.21106258,,
2026-06-30,-0.21106258,,
2026-07-31,-0.21106258,,
